PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
1,3,2,0,22,1,0,7.25,0
2,1,1,1,38,1,0,71.2833,1
3,3,0,1,26,0,0,7.925,0
4,1,1,1,35,1,0,53.1,0
5,3,2,0,35,0,0,8.05,0
6,3,2,0,29.7,0,0,8.4583,2
7,1,2,0,54,0,0,51.8625,0
8,3,3,0,2,3,1,21.075,0
9,3,1,1,27,0,2,11.1333,0
10,2,1,1,14,1,0,30.0708,1
11,3,0,1,4,1,1,16.7,0
12,1,0,1,58,0,0,26.55,0
13,3,2,0,20,0,0,8.05,0
14,3,2,0,39,1,5,31.275,0
15,3,0,1,14,0,0,7.8542,0
16,2,1,1,55,0,0,16,0
17,3,3,0,2,4,1,29.125,2
18,2,2,0,29.7,0,0,13,0
19,3,1,1,31,1,0,18,0
20,3,1,1,29.7,0,0,7.225,1
21,2,2,0,35,0,0,26,0
22,2,2,0,34,0,0,13,0
23,3,0,1,15,0,0,8.0292,2
24,1,2,0,28,0,0,35.5,0
25,3,0,1,8,3,1,21.075,0
26,3,1,1,38,1,5,31.3875,0
27,3,2,0,29.7,0,0,7.225,1
28,1,2,0,19,3,2,263,0
29,3,0,1,29.7,0,0,7.8792,2
30,3,2,0,29.7,0,0,7.8958,0
31,1,7,0,40,0,0,27.7208,1
32,1,1,1,29.7,1,0,146.5208,1
33,3,0,1,29.7,0,0,7.75,2
34,2,2,0,66,0,0,10.5,0
35,1,2,0,28,1,0,82.1708,1
36,1,2,0,42,1,0,52,0
37,3,2,0,29.7,0,0,7.2292,1
38,3,2,0,21,0,0,8.05,0
39,3,0,1,18,2,0,18,0
40,3,0,1,14,1,0,11.2417,1
41,3,1,1,40,1,0,9.475,0
42,2,1,1,27,1,0,21,0
43,3,2,0,29.7,0,0,7.8958,1
44,2,0,1,3,1,2,41.5792,1
45,3,0,1,19,0,0,7.8792,2
46,3,2,0,29.7,0,0,8.05,0
47,3,2,0,29.7,1,0,15.5,2
